id,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
16446,2020-09-29,MO,135414,,,1978,70.0,2086,,,12,0.0,10/01/2020 12:00:00 AM,Not agree,Not agree
16447,2021-01-05,NC,575396,525813.0,49583.0,5285,898.0,6996,6552.0,444.0,55,12.0,01/06/2021 02:58:26 PM,Agree,Agree
16448,2021-03-11,FSM,1,1.0,0.0,0,0.0,0,0.0,0.0,0,0.0,03/12/2021 03:20:13 PM,Agree,Agree
16449,2020-06-11,ND,2980,2980.0,0.0,39,0.0,74,,,1,0.0,06/12/2020 02:17:59 PM,Agree,Not agree
16450,2020-03-31,NH,367,,,53,,3,,,0,,03/30/2020 04:22:39 PM,Not agree,Not agree
16451,2020-08-28,ND,11484,11484.0,0.0,374,0.0,141,,,2,0.0,08/29/2020 01:42:50 PM,Agree,Not agree
16452,2020-02-23,KY,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
16453,2021-01-16,CT,223422,210193.0,13229.0,0,0.0,6594,5355.0,1239.0,0,0.0,01/17/2021 03:43:14 PM,Agree,Agree
16454,2020-12-13,ND,88067,85988.0,2079.0,196,11.0,1157,,,5,0.0,12/14/2020 02:36:45 PM,Agree,Not agree
16455,2020-11-28,VI,1538,,,0,0.0,23,,,0,0.0,11/29/2020 02:49:08 PM,,
16456,2020-11-15,CA,1019345,,,10968,0.0,18253,,,35,0.0,11/16/2020 06:40:02 PM,Not agree,Not agree
16457,2020-07-26,ND,5986,5986.0,0.0,110,0.0,99,,,0,0.0,07/27/2020 02:16:42 PM,Agree,Not agree
16458,2020-05-03,DC,5016,,,219,0.0,251,,,11,0.0,05/04/2020 10:49:24 PM,,
16459,2020-12-31,NE,166798,,,1501,0.0,1651,,,40,0.0,01/01/2021 02:49:07 PM,Not agree,Not agree
16460,2020-08-29,RI,21778,,,59,0.0,1075,,,2,0.0,08/30/2020 02:49:52 PM,Not agree,
16461,2020-12-09,LA,258914,,,4352,1680.0,6684,6393.0,291.0,32,2.0,12/10/2020 02:50:16 PM,Not agree,Agree
16462,2020-07-11,GU,312,,,0,0.0,5,,,0,0.0,07/12/2020 03:13:57 PM,Not agree,Not agree
16463,2020-07-06,OR,10395,9902.0,493.0,165,493.0,215,212.0,3.0,0,3.0,07/07/2020 02:58:02 PM,Agree,Agree
16464,2020-09-08,VI,1191,,,0,0.0,18,,,0,0.0,09/09/2020 01:47:50 PM,,
16465,2021-04-21,GU,7909,,,12,0.0,136,,,0,0.0,04/22/2021 01:56:30 PM,Not agree,Not agree
16466,2020-01-30,GU,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
16467,2021-02-24,NC,849630,742766.0,106864.0,3346,1352.0,11074,9804.0,1270.0,109,23.0,02/25/2021 02:54:32 PM,Agree,Agree
16468,2020-11-20,IN,282311,,,6808,0.0,5206,4952.0,254.0,63,0.0,11/21/2020 02:59:41 PM,Not agree,Agree
16469,2020-09-22,MS,94573,87902.0,6671.0,552,179.0,2870,2647.0,223.0,24,2.0,09/23/2020 01:51:22 PM,Agree,Agree
16470,2021-03-08,VA,588129,463522.0,124607.0,1537,-177.0,9790,8162.0,1628.0,107,62.0,03/09/2021 02:47:41 PM,Agree,Agree
16471,2020-07-26,VA,86072,82871.0,3201.0,1505,27.0,2082,1978.0,104.0,4,1.0,07/27/2020 02:16:42 PM,Agree,Agree
16472,2021-02-17,WY,53450,45438.0,8012.0,99,48.0,662,662.0,0.0,0,0.0,02/18/2021 02:43:57 PM,Agree,Agree
16473,2021-04-07,NH,86935,,,425,173.0,1250,,,1,1.0,04/08/2021 01:46:50 PM,Not agree,Not agree
16474,2020-08-31,ID,32088,29747.0,2341.0,221,30.0,361,327.0,34.0,2,0.0,09/01/2020 02:09:34 PM,Agree,Agree
16475,2020-01-29,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
16476,2020-03-29,MN,576,,,135,,10,,,5,,03/28/2020 04:22:39 PM,,Agree
16477,2020-02-29,DE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
16478,2021-01-21,KY,338034,267624.0,70410.0,3713,1422.0,3301,3034.0,267.0,58,7.0,01/22/2021 02:51:49 PM,Agree,Agree
16479,2020-12-13,MO,386081,,,1717,321.0,4514,,,11,0.0,12/15/2020 12:00:00 AM,Not agree,Not agree
16480,2021-01-13,FSM,1,1.0,0.0,0,0.0,0,0.0,0.0,0,0.0,01/14/2021 03:12:46 PM,Agree,Agree
16481,2020-04-15,IN,8955,,,428,,436,,,49,,04/15/2020 04:22:39 PM,Not agree,Agree
16482,2020-03-16,MO,65,,,28,0.0,0,,,0,,03/18/2020 12:00:00 AM,Not agree,Not agree
16483,2020-03-03,CA,29,,,8,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
16484,2020-07-03,KY,16376,15781.0,595.0,297,24.0,585,581.0,4.0,4,0.0,07/04/2020 03:30:31 PM,Agree,Agree
16485,2021-04-04,CT,313956,289591.0,24365.0,0,0.0,7904,6497.0,1407.0,0,0.0,04/05/2021 01:43:02 PM,Agree,Agree
